city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity,risk_classification,hour
Kolkata,2025-12-14 01:00:00+00:00,128.5,123.9,972.0,38.7,24.5,58.0,0.1,Unhealthy,3375.8,High Risk,1
Kolkata,2025-12-14 02:00:00+00:00,126.7,122.5,1200.0,35.3,25.3,84.0,0.75,Unhealthy,3887.0,High Risk,2
Kolkata,2025-12-14 03:00:00+00:00,108.5,105.9,1292.0,30.3,25.1,112.0,2.05,Unhealthy,3996.6000000000004,High Risk,3
Kolkata,2025-12-14 04:00:00+00:00,86.6,84.3,1115.0,22.0,23.0,143.0,3.75,Moderate,3520.3,High Risk,4
Kolkata,2025-12-14 05:00:00+00:00,61.5,58.3,801.0,12.2,20.0,176.0,5.0,Moderate,2734.8,High Risk,5
Kolkata,2025-12-14 06:00:00+00:00,47.6,44.0,565.0,5.1,17.7,201.0,5.4,Good,2187.0,High Risk,6
Kolkata,2025-12-14 07:00:00+00:00,43.1,39.1,489.0,1.8,16.4,215.0,4.7,Good,2020.6,High Risk,7
Kolkata,2025-12-14 08:00:00+00:00,42.6,38.5,490.0,1.1,15.7,221.0,3.2,Good,2030.5,High Risk,8
Kolkata,2025-12-14 09:00:00+00:00,42.8,38.6,539.0,4.5,16.6,217.0,1.6,Good,2134.8,High Risk,9
Kolkata,2025-12-14 10:00:00+00:00,43.9,39.8,656.0,13.8,19.4,200.0,0.5,Good,2375.5,High Risk,10
Kolkata,2025-12-14 11:00:00+00:00,65.2,61.7,820.0,27.1,23.8,175.0,0.05,Moderate,2872.7,High Risk,11
Kolkata,2025-12-14 12:00:00+00:00,92.9,89.4,941.0,39.6,29.1,148.0,0.0,Moderate,3326.5,High Risk,12
Kolkata,2025-12-14 13:00:00+00:00,117.3,113.9,974.0,50.6,36.4,122.0,0.0,Unhealthy,3583.3999999999996,High Risk,13
Kolkata,2025-12-14 14:00:00+00:00,136.4,133.2,963.0,60.8,44.6,95.0,0.0,Unhealthy,3707.8,High Risk,14
Kolkata,2025-12-14 15:00:00+00:00,148.5,145.3,948.0,68.2,50.4,74.0,0.0,Unhealthy,3764.3999999999996,High Risk,15
Kolkata,2025-12-14 16:00:00+00:00,156.5,152.7,941.0,71.4,51.9,62.0,0.0,Unhealthy,3794.2,High Risk,16
Kolkata,2025-12-14 17:00:00+00:00,160.7,155.5,931.0,71.7,51.0,57.0,0.0,Unhealthy,3783.3999999999996,High Risk,17
Kolkata,2025-12-14 18:00:00+00:00,159.3,153.7,921.0,71.0,49.3,52.0,0.0,Unhealthy,3725.6000000000004,High Risk,18
Kolkata,2025-12-14 19:00:00+00:00,156.9,151.3,908.0,69.3,47.1,47.0,0.0,Unhealthy,3649.8,High Risk,19
Kolkata,2025-12-14 20:00:00+00:00,156.0,150.4,896.0,66.5,44.1,44.0,0.0,Unhealthy,3586.4,High Risk,20
Kolkata,2025-12-14 21:00:00+00:00,157.4,151.8,895.0,64.4,41.6,40.0,0.0,Unhealthy,3565.2000000000003,High Risk,21
Kolkata,2025-12-14 22:00:00+00:00,160.2,154.6,918.0,64.6,40.2,31.0,0.0,Unhealthy,3601.8,High Risk,22
Kolkata,2025-12-14 23:00:00+00:00,161.6,156.5,953.0,65.3,39.4,21.0,0.0,Unhealthy,3655.1,High Risk,23
Kolkata,2025-12-15 00:00:00+00:00,161.6,156.5,1192.8,63.5,38.4,24.0,0.0,Unhealthy,4132.5,High Risk,0
Kolkata,2025-12-15 01:00:00+00:00,167.6,162.1,1402.5,57.4,37.5,47.0,0.1,Unhealthy,4638.9,High Risk,1
Kolkata,2025-12-15 02:00:00+00:00,161.6,156.5,1551.5,48.6,36.4,83.0,0.7,Unhealthy,4959.3,High Risk,2
Kolkata,2025-12-15 03:00:00+00:00,129.9,126.7,1570.0,38.9,34.0,117.0,2.0,Unhealthy,4805.8,High Risk,3
Kolkata,2025-12-15 04:00:00+00:00,98.3,95.2,1227.0,27.3,28.9,148.0,3.65,Moderate,3893.7,High Risk,4
Kolkata,2025-12-15 05:00:00+00:00,60.8,57.0,795.0,14.8,22.4,178.0,4.95,Moderate,2740.2,High Risk,5
Kolkata,2025-12-15 06:00:00+00:00,42.3,38.1,479.0,5.8,17.5,201.0,5.35,Good,1971.6,High Risk,6
Kolkata,2025-12-15 07:00:00+00:00,39.8,35.5,372.0,1.9,15.3,215.0,4.65,Good,1754.7,High Risk,7
Kolkata,2025-12-15 08:00:00+00:00,39.6,35.4,382.0,1.5,14.7,220.0,3.2,Good,1784.6,High Risk,8
Kolkata,2025-12-15 09:00:00+00:00,39.3,35.3,439.0,4.7,15.5,216.0,1.65,Good,1901.2,High Risk,9
Kolkata,2025-12-15 10:00:00+00:00,40.0,36.2,549.0,13.9,18.3,194.0,0.5,Good,2109.8,High Risk,10
Kolkata,2025-12-15 11:00:00+00:00,54.9,52.0,705.0,26.6,22.5,162.0,0.05,Moderate,2517.1,High Risk,11
Kolkata,2025-12-15 12:00:00+00:00,78.9,76.1,819.0,35.9,25.6,138.0,0.0,Moderate,2915.2,High Risk,12
