city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,aqi_category,severity,risk_classification,hour
Mumbai,2025-12-12 00:00:00+00:00,27.3,27.1,368.0,28.2,22.9,45.0,0.0,Good,1292.8,High Risk,0
Mumbai,2025-12-12 01:00:00+00:00,28.5,28.3,535.0,32.9,25.3,36.0,0.0,Good,1637.8,High Risk,1
Mumbai,2025-12-12 02:00:00+00:00,32.7,32.6,767.0,38.6,28.9,28.0,0.15,Good,2149.1,High Risk,2
Mumbai,2025-12-12 03:00:00+00:00,37.8,37.6,888.0,41.7,31.9,41.0,0.95,Good,2494.8,High Risk,3
Mumbai,2025-12-12 04:00:00+00:00,41.3,41.1,784.0,39.5,33.2,87.0,2.65,Good,2449.2,High Risk,4
Mumbai,2025-12-12 05:00:00+00:00,42.4,42.1,569.0,34.6,33.9,154.0,4.75,Good,2211.7,High Risk,5
Mumbai,2025-12-12 06:00:00+00:00,42.4,42.1,410.0,31.4,34.7,217.0,6.4,Good,2073.1,High Risk,6
Mumbai,2025-12-12 07:00:00+00:00,46.3,46.0,382.0,32.1,36.4,278.0,6.9,Good,2240.9,High Risk,7
Mumbai,2025-12-12 08:00:00+00:00,53.2,52.9,411.0,34.4,38.3,337.0,6.05,Moderate,2547.9,High Risk,8
Mumbai,2025-12-12 09:00:00+00:00,65.9,65.4,438.0,35.9,39.0,367.0,4.25,Moderate,2801.3,High Risk,9
Mumbai,2025-12-12 10:00:00+00:00,53.9,53.3,435.0,35.9,37.7,351.0,2.2,Moderate,2645.6,High Risk,10
Mumbai,2025-12-12 11:00:00+00:00,50.6,49.8,430.0,35.1,35.2,306.0,0.7,Good,2460.0,High Risk,11
Mumbai,2025-12-12 12:00:00+00:00,45.1,44.1,452.0,32.8,32.4,261.0,0.1,Good,2303.6,High Risk,12
Mumbai,2025-12-12 13:00:00+00:00,37.0,35.9,512.0,27.6,28.9,221.0,0.0,Good,2203.5,High Risk,13
Mumbai,2025-12-12 14:00:00+00:00,32.1,30.9,599.0,20.9,25.0,181.0,0.0,Good,2175.4,High Risk,14
Mumbai,2025-12-12 15:00:00+00:00,29.9,28.5,710.0,16.4,23.0,149.0,0.0,Good,2256.8,High Risk,15
Mumbai,2025-12-12 16:00:00+00:00,29.0,27.7,862.0,15.8,24.1,131.0,0.0,Good,2502.1,High Risk,16
Mumbai,2025-12-12 17:00:00+00:00,30.4,29.3,1038.0,17.4,27.0,122.0,0.0,Good,2857.3,High Risk,17
Mumbai,2025-12-12 18:00:00+00:00,33.3,32.5,1183.0,19.1,30.1,113.0,0.0,Good,3164.2,High Risk,18
Mumbai,2025-12-12 19:00:00+00:00,36.0,35.3,1294.0,20.4,33.3,101.0,0.0,Good,3390.3,High Risk,19
Mumbai,2025-12-12 20:00:00+00:00,38.0,37.5,1375.0,21.9,36.7,89.0,0.0,Good,3552.9,High Risk,20
Mumbai,2025-12-12 21:00:00+00:00,38.9,38.5,1383.0,23.5,39.0,78.0,0.0,Good,3559.2,High Risk,21
Mumbai,2025-12-12 22:00:00+00:00,39.1,38.8,1263.0,24.7,39.4,69.0,0.0,Good,3300.7,High Risk,22
Mumbai,2025-12-12 23:00:00+00:00,38.9,38.6,1070.0,26.0,38.7,62.0,0.0,Good,2894.5,High Risk,23
Mumbai,2025-12-13 00:00:00+00:00,38.8,38.5,930.0,28.4,38.3,57.0,0.0,Good,2606.7,High Risk,0
Mumbai,2025-12-13 01:00:00+00:00,38.6,38.3,920.0,33.5,39.0,48.0,0.0,Good,2581.3,High Risk,1
Mumbai,2025-12-13 02:00:00+00:00,41.7,41.3,962.0,39.6,40.1,42.0,0.15,Good,2700.4,High Risk,2
Mumbai,2025-12-13 03:00:00+00:00,44.6,44.2,947.0,43.2,40.8,55.0,0.9,Good,2749.8,High Risk,3
Mumbai,2025-12-13 04:00:00+00:00,48.2,47.7,804.0,41.6,40.5,101.0,2.55,Good,2622.5,High Risk,4
Mumbai,2025-12-13 05:00:00+00:00,50.3,49.8,605.0,37.5,39.7,168.0,4.6,Good,2422.7,High Risk,5
Mumbai,2025-12-13 06:00:00+00:00,50.1,49.5,456.0,34.8,39.3,234.0,6.25,Good,2308.2,High Risk,6
Mumbai,2025-12-13 07:00:00+00:00,55.3,54.5,404.0,35.5,40.2,304.0,6.8,Moderate,2461.2,High Risk,7
Mumbai,2025-12-13 08:00:00+00:00,69.2,68.2,402.0,37.7,41.4,373.0,6.0,Moderate,2788.0,High Risk,8
Mumbai,2025-12-13 09:00:00+00:00,70.3,69.4,414.0,39.6,41.1,410.0,4.2,Moderate,2938.7,High Risk,9
Mumbai,2025-12-13 10:00:00+00:00,61.9,61.0,435.0,41.6,37.9,393.0,2.2,Moderate,2857.7,High Risk,10
Mumbai,2025-12-13 11:00:00+00:00,54.7,53.4,470.0,43.3,33.3,342.0,0.7,Moderate,2703.5,High Risk,11
Mumbai,2025-12-13 12:00:00+00:00,51.6,50.2,502.0,42.3,29.2,290.0,0.1,Moderate,2565.8,High Risk,12
Mumbai,2025-12-13 13:00:00+00:00,43.8,42.4,508.0,35.8,26.0,243.0,0.0,Good,2335.6,High Risk,13
Mumbai,2025-12-13 14:00:00+00:00,37.7,36.0,509.0,26.7,23.5,194.0,0.0,Good,2093.9,High Risk,14
Mumbai,2025-12-13 15:00:00+00:00,34.3,32.7,556.0,20.3,22.9,154.0,0.0,Good,2013.1999999999998,High Risk,15
Mumbai,2025-12-13 16:00:00+00:00,33.5,32.0,686.0,19.6,25.7,130.0,0.0,Good,2203.7,High Risk,16
Mumbai,2025-12-13 17:00:00+00:00,35.9,34.6,861.0,21.7,30.5,115.0,0.0,Good,2556.5,High Risk,17
Mumbai,2025-12-13 18:00:00+00:00,39.2,38.2,1015.0,23.9,34.5,102.0,0.0,Good,2878.2,High Risk,18
Mumbai,2025-12-13 19:00:00+00:00,41.9,41.0,1150.0,25.3,36.8,89.0,0.0,Good,3146.1,High Risk,19
Mumbai,2025-12-13 20:00:00+00:00,43.1,42.3,1263.0,26.7,38.4,78.0,0.0,Good,3361.2,High Risk,20
Mumbai,2025-12-13 21:00:00+00:00,43.4,42.7,1280.0,28.4,39.3,69.0,0.0,Good,3381.5,High Risk,21
Mumbai,2025-12-13 22:00:00+00:00,43.8,43.1,1110.0,30.2,39.4,62.0,0.0,Good,3031.3,High Risk,22
Mumbai,2025-12-13 23:00:00+00:00,43.8,43.1,844.0,32.3,38.9,57.0,0.0,Good,2490.7,High Risk,23
Mumbai,2025-12-14 00:00:00+00:00,43.4,42.6,678.0,35.1,38.4,52.0,0.0,Good,2149.2,High Risk,0
Mumbai,2025-12-14 01:00:00+00:00,43.2,42.4,740.0,39.9,38.1,43.0,0.0,Good,2262.6,High Risk,1
Mumbai,2025-12-14 02:00:00+00:00,45.9,45.2,901.0,45.4,37.8,34.0,0.15,Good,2600.5,High Risk,2
Mumbai,2025-12-14 03:00:00+00:00,48.8,48.1,975.0,48.6,37.6,42.0,0.9,Good,2807.7,High Risk,3
Mumbai,2025-12-14 04:00:00+00:00,49.6,48.8,853.0,47.2,37.2,74.0,2.5,Good,2658.4,High Risk,4
Mumbai,2025-12-14 05:00:00+00:00,49.9,48.9,643.0,43.5,36.8,121.0,4.45,Good,2364.4,High Risk,5
Mumbai,2025-12-14 06:00:00+00:00,51.5,50.4,484.0,41.0,37.4,175.0,6.05,Moderate,2213.1,High Risk,6
Mumbai,2025-12-14 07:00:00+00:00,59.3,58.1,435.0,41.3,40.2,242.0,6.6,Moderate,2390.3999999999996,High Risk,7
Mumbai,2025-12-14 08:00:00+00:00,71.7,70.5,436.0,42.8,43.9,316.0,5.8,Moderate,2734.4,High Risk,8
Mumbai,2025-12-14 09:00:00+00:00,75.7,74.5,446.0,44.1,45.9,362.0,4.05,Moderate,2937.6,High Risk,9
Mumbai,2025-12-14 10:00:00+00:00,71.0,69.8,453.0,45.8,44.6,362.0,2.1,Moderate,2915.6,High Risk,10
Mumbai,2025-12-14 11:00:00+00:00,64.5,63.3,469.0,47.2,41.6,336.0,0.7,Moderate,2811.2,High Risk,11
Mumbai,2025-12-14 12:00:00+00:00,61.9,60.8,490.0,45.5,38.4,305.0,0.1,Moderate,2720.3,High Risk,12
Mumbai,2025-12-14 13:00:00+00:00,58.0,56.5,510.0,37.7,35.4,275.0,0.0,Moderate,2593.9,High Risk,13
Mumbai,2025-12-14 14:00:00+00:00,52.9,51.1,535.0,26.7,32.3,242.0,0.0,Moderate,2446.2,High Risk,14
Mumbai,2025-12-14 15:00:00+00:00,48.2,46.3,576.0,18.3,29.3,212.0,0.0,Good,2354.5,High Risk,15
Mumbai,2025-12-14 16:00:00+00:00,43.9,42.0,647.0,15.1,26.4,189.0,0.0,Good,2368.7,High Risk,16
Mumbai,2025-12-14 17:00:00+00:00,40.4,38.8,734.0,14.5,23.7,171.0,0.0,Good,2449.0,High Risk,17
Mumbai,2025-12-14 18:00:00+00:00,37.4,36.1,811.0,14.4,21.9,154.0,0.0,Good,2521.9,High Risk,18
Mumbai,2025-12-14 19:00:00+00:00,35.0,33.9,885.0,14.0,21.3,139.0,0.0,Good,2602.7,High Risk,19
Mumbai,2025-12-14 20:00:00+00:00,34.2,33.1,947.0,14.0,21.7,126.0,0.0,Good,2682.9,High Risk,20
Mumbai,2025-12-14 21:00:00+00:00,34.9,33.9,947.0,14.5,23.2,114.0,0.0,Good,2661.0,High Risk,21
Mumbai,2025-12-14 22:00:00+00:00,36.0,34.9,813.0,15.1,26.2,101.0,0.0,Good,2376.7,High Risk,22
Mumbai,2025-12-14 23:00:00+00:00,37.5,36.6,615.0,16.3,30.3,88.0,0.0,Good,1975.9,High Risk,23
Mumbai,2025-12-15 00:00:00+00:00,38.8,38.0,497.5,19.2,34.2,78.0,0.0,Good,1749.0,High Risk,0
Mumbai,2025-12-15 01:00:00+00:00,40.5,39.7,496.0,25.9,38.0,65.0,0.0,Good,1762.6,High Risk,1
Mumbai,2025-12-15 02:00:00+00:00,44.9,44.0,562.5,34.3,41.7,54.0,0.1,Good,1945.7,High Risk,2
Mumbai,2025-12-15 03:00:00+00:00,50.1,49.1,637.0,39.8,44.1,61.0,0.85,Good,2188.4,High Risk,3
Mumbai,2025-12-15 04:00:00+00:00,53.6,52.6,644.0,39.3,44.2,97.0,2.4,Moderate,2336.8,High Risk,4
Mumbai,2025-12-15 05:00:00+00:00,54.6,53.4,631.0,35.9,43.0,151.0,4.3,Moderate,2461.4,High Risk,5
Mumbai,2025-12-15 06:00:00+00:00,55.6,54.4,638.0,33.8,41.9,205.0,5.9,Moderate,2632.6,High Risk,6
Mumbai,2025-12-15 07:00:00+00:00,58.9,57.6,700.0,35.0,41.8,263.0,6.4,Moderate,2960.9,High Risk,7
Mumbai,2025-12-15 08:00:00+00:00,70.5,69.2,783.0,37.5,41.9,322.0,5.65,Moderate,3407.1,High Risk,8
Mumbai,2025-12-15 09:00:00+00:00,75.9,74.7,825.0,39.5,40.7,353.0,3.95,Moderate,3631.0,High Risk,9
Mumbai,2025-12-15 10:00:00+00:00,71.2,69.8,785.0,40.2,37.1,333.0,2.1,Moderate,3440.8,High Risk,10
Mumbai,2025-12-15 11:00:00+00:00,59.6,58.1,704.0,40.4,32.3,285.0,0.7,Moderate,3023.1,High Risk,11
Mumbai,2025-12-15 12:00:00+00:00,52.6,51.0,643.0,40.5,28.8,248.0,0.1,Moderate,2720.0,High Risk,12
